nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Exclusive Paviliun Tipe Kecil Cilandak Jakarta Selatan,6700000,24.0,2.336044506805908,campur,1,1,1,1,1,1,1,0
Kost Vera Cilandak Fatmawati Deluxe Double Cilandak Jakarta Selatan,3500000,13.5,1.958719054347127,campur,1,1,1,1,1,0,1,1
Kost Neoma Residence Type Deluxe Balcony Cilandak Jakarta Selatan,3500000,24.0,1.7363261604404938,putri,1,1,1,1,1,0,1,0
Kost Natanara Home 2 Cilandak Jakarta Selatan,3450000,12.0,2.4954534484754847,putri,1,1,1,1,1,0,0,1
Kost Singgahsini Papan Hobbies Tipe B Lebak Bulus Jakarta Selatan,3425000,23.760000000000005,1.7190423851653325,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Griya Dami Tipe E Cilandak Jakarta Selatan,3425000,20.0,1.4640567504118709,campur,1,1,1,1,1,0,1,0
Kost Casa Panorama Tipe C Cilandak Jakarta Selatan,3400000,12.0,1.6634867657767447,campur,1,1,0,1,1,1,0,1
Kost Binar Truntum Pondok Pinang Tipe B Kebayoran Lama Jakarta Selatan,3395000,14.0,2.0709080191657487,campur,1,1,1,1,1,1,1,1
Kost The Balcony Residence Tipe Superior Double Kebayoran Lama Jakarta Selatan,3355000,24.0,2.1929346445242284,putri,1,1,1,1,1,0,0,1
Kost Singgahsini Rumoh èh Lebak Bulus Tipe A Cilandak Jakarta Selatan,3325000,14.4,0.8406130677111929,campur,1,1,1,1,1,0,1,0
Kost Good Space Ciputat Timur Tangerang Selatan,3300000,21.0,1.877653173192108,campur,1,1,1,1,1,0,1,1
Kost 98 Tipe A Cilandak Jakarta Selatan,3300000,12.0,1.7764465654888282,campur,1,1,1,1,1,0,1,0
Kost The Base 48 Co Living VIP Cilandak Jakarta Selatan,3500000,20.0,1.348899765156775,putri,1,1,1,1,1,0,1,0
Kost 98 Tipe Suite Cilandak Jakarta Selatan,3300000,30.0,1.7764465654888282,campur,1,1,1,1,1,0,1,0
Kost Js Pondok Pinang Tipe A Kebayoran Lama Jakarta Selatan,3300000,24.0,0.9523075175059592,campur,1,1,0,1,1,0,0,0
Kost Singgahsini N Residence Pondok Indah Tipe A Kebayoran Lama Jakarta Selatan,3275000,20.25,0.1607501369346647,campur,1,1,0,1,1,0,1,0
Kost Rp8 Residence Tipe B Ciputat Timur Tangerang Selatan,3250000,35.0,2.1570833880408693,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Wahyu Residence Tipe C Fatmawati Jakarta Selatan,3225000,15.75,2.34272718291713,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Wahyu Residence Tipe B Fatmawati Jakarta Selatan,3225000,14.0,2.34272718291713,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Puri Adhyaksa Tipe A Cilandak Jakarta Selatan,3225000,30.24,0.6678282124286219,campur,1,1,1,1,1,0,1,0
Kost Singgahsini The Tree Residence Tipe A Pesanggrahan Jakarta Selatan,3225000,18.0,2.757131048474804,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Griya Dami Tipe D Cilandak Jakarta Selatan,3225000,16.0,1.4640567504118709,campur,1,1,1,1,1,0,1,0
Kost Binar Truntum Pondok Pinang Tipe A Kebayoran Lama Jakarta Selatan,3225000,14.0,2.0709080191657487,campur,1,1,1,1,1,0,1,1
Kost The Legacy Terogong Syariah Tipe NonBalkon Cilandak Jakarta Selatan,3500000,12.0,1.6173596250824578,campur,1,1,1,1,1,0,1,0
Kost Di Banjarsari III Cilandak Jakarta Selatan,3200000,13.5,1.7339943609581143,campur,1,1,1,1,1,0,1,0
Kost Natanara Home Tipe A Cilandak Jakarta Selatan,3200000,12.0,2.4900208106816244,putri,1,1,1,1,1,0,0,1
Kost Bambang Sutedjo Tipe A Cilandak Jakarta Selatan,3200000,12.0,2.6851090471655863,campur,1,1,1,1,1,0,1,1
Kost Sultan Residence Studio Syariah Cilandak Jakarta Selatan,3500000,15.0,1.3756644795447748,campur,1,1,1,1,1,1,1,1
Kost Mama Cilandak Jakarta Selatan,3500000,8.100000000000001,2.00251018625792,putri,1,1,1,1,1,1,1,0
Kost Omah Q Abuserin Cilandak Jakarta Selatan,3500000,16.0,2.1530747841778,putra,1,1,1,1,1,0,1,1
Kost Yunus Residence Tipe A Cilandak Jakarta Selatan,3500000,9.0,2.2926523228727227,campur,1,1,1,1,1,1,1,0
Kost The Legacy Terogong Syariah Tipe B Balkon Single Cilandak Jakarta Selatan,3500000,12.0,1.629089792196257,campur,1,1,1,1,1,0,1,0
Kost Sharing Cilandak Jakarta Selatan,3499998,25.0,1.7382313168803665,campur,1,1,1,0,1,0,1,0
Kost Vip Pondok Hijau II Kebayoran Lama Jakarta Selatan,3200000,30.0,1.0726487905948847,campur,1,1,1,1,1,1,1,0
Kost Homy 2 Residence Fatmawati Tipe A Cilandak Jakarta Selatan,3100000,12.0,1.7600384684717711,campur,1,1,1,1,1,0,1,1
Kost Guesthouse Gunung Balong Raya 10 Tipe A Cilandak Jakarta Selatan,3100000,48.0,1.9251845201344664,campur,1,1,0,1,1,1,1,1
Kost Wahyu 22 Tipe B Cilandak Jakarta Selatan,3100000,24.0,2.3494754343106465,campur,1,1,0,1,1,1,1,1
Kost Griya Animos Single Deluxe Cilandak Jakarta Selatan,3100000,12.0,2.498053769505536,campur,1,1,1,1,1,0,1,1
Kost Singgahsini b211 The Syariah Residence MRT-Fatmawati Tipe E Cilandak Jakarta Selatan,3050000,12.0,1.7331894280404814,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Rumoh èh Lebak Bulus Tipe B Cilandak Jakarta Selatan,3025000,14.4,0.8406130677111929,campur,1,1,1,1,1,0,1,0
Kost Singgahsini N Residence Pondok Indah Tipe B Kebayoran Lama Jakarta Selatan,3025000,12.25,0.1607501369346647,campur,1,1,0,1,1,0,1,0
Kost The Balcony Residence Tipe Superior Single Kebayoran Lama Jakarta Selatan,3025000,24.0,2.1929346443032105,putri,1,1,1,1,1,0,0,1
Kost Eksklusif Pendidikan 11A Tipe A Cilandak Jakarta Selatan,3000000,18.0,2.0480511369177155,campur,1,1,1,1,1,0,1,1
Kost Tentrem Cilandak Jakarta Selatan,3000000,9.0,2.0649984220921938,campur,1,1,0,1,1,1,1,0
Kost Pondok Indah - Alam Asri Jakarta Selatan,3200000,30.0,1.231338222262975,campur,1,1,1,1,1,1,1,1
Kost 9 Residence Tipe A Cilandak Jakarta Selatan,3000000,12.0,2.047492608181223,campur,1,0,1,1,1,1,1,1
Kost Lebak Bulus Gunung Balong Tipe G Cilandak Jakarta Selatan,3000000,30.0,2.00545098401641,campur,1,1,1,1,1,0,1,1
Kost Vera Cilandak Fatmawati Deluxe Single Cilandak Jakarta Selatan,3000000,9.0,1.958719054347127,campur,1,1,1,1,1,0,1,1
Kost Haji Arifin Tipe B Cilandak Jakarta Selatan,3000000,12.0,1.7696276405656362,campur,1,1,0,0,1,0,0,0
Kost Haji Arifin Tipe C Cilandak Jakarta Selatan,3000000,50.0,1.7696276405656362,putra,1,1,0,0,1,0,1,0
Kost Syariah 9 Cilandak Jakarta Selatan,3000000,5.0,1.9147426504688383,putra,1,0,1,1,1,1,0,1
Kost Rumah Teduh Keuangan 2 Tipe B Cilandak Jakarta Selatan,3000000,16.0,1.682581131728649,putra,1,0,0,0,1,1,0,0
Kost Muhasyim Icon Tipe A Cilandak Barat Jakarta Selatan,3000000,36.0,1.2934588720090103,campur,1,1,1,1,1,0,1,0
Kost Keuangan 48 Tipe A Cilandak Jakarta Selatan,3000000,9.0,1.5850169892645964,putri,1,1,1,1,1,0,1,0
Kost Binar Truntum Kebayoran Lama Jakarta Selatan,3000000,14.0,2.07093672200018,campur,1,1,1,1,1,0,1,1
Kost FAMP Home Tipe A Kebayoran Lama Jakarta Selatan,3200000,12.0,0.6937221292391997,putri,1,0,0,0,1,1,1,1
Kost Rumah Gamma Cipete Cilandak Jakarta Selatan,3000000,15.0,2.457730040627859,putri,1,1,1,1,1,1,1,1
Kost Keuangan 48 Tipe B1 Cilandak Jakarta Selatan,3000000,12.0,1.5850169892645964,putri,1,1,1,1,1,0,1,0
Kost Ga 02 Pesanggrahan Jakarta Selatan,3000000,12.0,1.9149160667624865,campur,1,1,1,0,1,0,1,0
Kost Js Pondok Pinang Tipe B Kebayoran Lama Jakarta Selatan,3000000,14.080000000000002,0.9523075175059592,campur,1,1,0,1,1,0,1,0
Kost Lebak Bulus Residence 4 Tipe A Cilandak Jakarta Selatan,2700000,16.0,1.433214805402912,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Ranara Hj Ross Tipe A Cilandak Jakarta Selatan,3175000,17.5,1.135391065893098,putri,1,1,1,1,1,0,1,0
Kost Singgahsini The Tree Residence Tipe B Pesanggrahan Jakarta Selatan,3175000,19.5,2.757138352404336,campur,1,1,1,1,1,0,1,0
Kost Neoma Residence Type Superior Sudut Cilandak Jakarta Selatan,3150000,20.0,1.7359364946858695,putri,1,1,1,1,1,0,1,0
Kost Singgahsini The Tree Residence Tipe C Pesanggrahan Jakarta Selatan,3125000,17.94,2.757138352404336,campur,1,1,1,1,1,0,1,0
Kost Lebak Bulus Residence 4 Tipe B Cilandak Jakarta Selatan,2500000,9.0,1.433214805402912,campur,1,1,1,1,1,1,1,0
Kost Singgahsini b211 The Syariah Residence MRT-Fatmawati Tipe D Cilandak Jakarta Selatan,2995000,12.0,1.7331894280404814,campur,1,1,1,1,1,0,1,0
Kost Ciputat 68 Tipe A Ciputat Timur Tangerang Selatan,550000,15.0,2.455914037108464,putri,1,1,0,1,1,1,0,0
Kost Bu Hj Nani Ekonomis Ciputat Timur Tangerang Selatan,550000,6.0,2.2333587170052622,campur,1,0,0,1,1,1,0,0
Kost Bahari 2 Tipe 4 Cilandak Jakarta Selatan,580000,5.0,1.952832634495805,campur,1,0,0,1,1,1,0,1
Kost Haji Hendi Ciputat Timur Tangerang Selatan,600000,9.0,1.722945318410787,putra,1,0,0,0,1,1,0,0
Kost Ibu Mai Cilandak Jakarta Selatan,600000,9.0,0.7614129136832092,putri,1,0,0,1,1,1,0,1
Kost Pondok Farta Tipe B Ciputat Timur Tangerang Selatan,600000,9.0,1.6002800881877015,putri,1,0,0,1,1,1,0,0
Kost Bunda Cut Kebayoran Lama Jakarta Selatan,600000,9.0,1.965774084452604,putri,1,0,0,1,1,1,0,0
Kost Tanah Ara 9 Kebayoran Lama Jakarta Selatan,600000,12.0,1.780532395952408,campur,1,0,0,1,1,1,1,1
Kost Sarwo Cilandak Jakarta Selatan,600000,9.0,2.1586934047294424,campur,1,0,0,0,1,1,0,0
Kost Caprina Cilandak Jakarta Selatan,600000,9.0,1.5436643055974142,campur,1,0,0,1,1,1,0,0
Kost Lebak Bulus Gunung Balong Tipe Retro Deluxe Cilandak Jakarta Selatan,2950000,35.0,1.900486630310693,campur,1,1,1,1,1,0,1,1
Kost Wahyu Tanah Ara Kebayoran Lama Jakarta Selatan,600000,12.0,1.780532395952408,campur,1,0,0,0,1,0,0,0
Kost Haji Nawi Residence 26A Tipe VVIP Cilandak Jakarta Selatan,2950000,12.0,2.813281038850008,campur,1,1,1,1,1,0,0,1
Kost Singgahsini b211 The Syariah Residence MRT-Fatmawati Tipe C Cilandak Jakarta Selatan,2940000,13.5,1.7331894280404814,campur,1,1,1,1,1,0,1,0
Kost Singgahsini b211 The Syariah Residence MRT-Fatmawati Tipe G Cilandak Jakarta Selatan,2940000,9.0,1.7331894280404814,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Casa 34 Tipe C Cilandak Jakarta Selatan,2925000,14.0,1.9896756459214435,campur,1,1,1,1,1,0,1,0
Kost The View Leblus1 Cilandak Jakarta Selatan,2900000,14.0,0.7243052238669974,campur,1,1,1,1,1,0,1,1
Kost Homy Residence Fatmawati Tipe A Cilandak Jakarta Selatan,2900000,12.0,1.7812239371013303,campur,1,1,1,1,1,0,1,0
Kost The View Leblus 2 Tipe B Cilandak Jakarta Selatan,2900000,9.0,1.1150182495405585,campur,1,1,1,0,1,0,1,1
Kost Griya Animos Single Superior Cilandak Jakarta Selatan,2900000,12.0,2.498053769505536,campur,1,1,1,1,1,0,1,1
Kost Terogong Sembilan Standard Deluxe Suite Cilandak Jakarta Selatan,3000000,24.0,2.0195198496740105,campur,1,1,1,1,1,0,1,0
Kost Neoma Residence VIP Cilandak Jakarta Selatan,2900000,16.0,1.7363261604404938,putri,1,1,1,1,1,0,1,0
Kost Singgahsini b211 The Syariah Residence MRT-Fatmawati Tipe B Cilandak Jakarta Selatan,2885000,9.0,1.7331894280404814,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Ranara Hj Ross Tipe B Cilandak Jakarta Selatan,2875000,12.6,1.135391065893098,putri,1,1,1,1,1,0,1,0
Kost Singgahsini Dyra Tipe A Kebayoran Lama Jakarta Selatan,2875000,23.94,0.5346261125374896,putri,1,1,0,1,1,1,0,1
Kost Fatmawati Mansion Syariah Tipe Standart Cilandak Jakarta Selatan,2850000,18.0,2.038957087897682,campur,1,1,1,1,1,0,1,1
Kost Happy Jc Licving Deluxe Spacious Upper Floor Cilandak Jakarta Selatan,2850000,12.0,2.439705082670522,campur,1,1,1,1,1,0,0,0
Kost Adhyaksa Tipe B Cilandak Jakarta Selatan,2850000,15.0,0.9776118103897948,putri,1,1,1,1,1,0,1,0
Kost Singgahsini Cendrawasih I Tipe B Cilandak Jakarta Selatan,2845000,14.0,2.8887501373760704,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Puri Adhyaksa Tipe B Cilandak Jakarta Selatan,2825000,14.28,0.6678282124286219,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Casa 34 Tipe D Cilandak Jakarta Selatan,2825000,12.0,1.9896756459214435,campur,1,1,1,1,1,0,1,0
Kost Serenity Loft Tipe B Pesanggrahan Jakarta Selatan,3000000,18.0,2.697418819093175,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Griya Dami Tipe C Cilandak Jakarta Selatan,2825000,12.0,1.4640567504118709,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Wahyu Residence Tipe D Fatmawati Jakarta Selatan,2825000,10.89,2.396259667250714,campur,1,1,1,1,1,0,1,0
Kost Lestari 2 Tipe A Cilandak Jakarta Selatan,2800000,16.0,0.6296458494739731,putra,1,1,1,1,1,0,1,1
Kost Lebak Bulus Gunung Balong Tipe E Cilandak Jakarta Selatan,2800000,30.0,1.9179316155935704,campur,1,1,1,1,1,0,1,1
Kost Homy Residence Fatmawati Tipe B Cilandak Jakarta Selatan,2800000,12.0,1.7812239371013303,campur,1,1,1,1,1,0,1,1
Kost 98 Executive Cilandak Jakarta Selatan,2800000,12.0,1.7764465654888282,campur,1,1,1,1,1,0,1,0
Kost Griya Animos Single Large Cilandak Jakarta Selatan,2800000,12.0,2.498053769505536,campur,1,1,1,1,1,0,1,1
