nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Ibu Simbolon Kelapa Gading Jakarta Utara,800000,10.5,0.7943785459631411,putri,1,0,0,1,1,0,0,0
Kost LY House 1 Single Kelapa Gading North Jakarta,1750000,8.100000000000001,0.9102536820541788,putri,1,0,0,1,1,0,0,1
Kost Singgahsini Kelapa Sawit Raya 7 Tipe A Kelapa Gading Jakarta Utara,1750000,9.0,1.811713061097852,campur,1,1,0,1,1,0,0,1
Kost CherryHomeStay Tipe B Kelapa Gading Jakarta Utara,2350000,14.43,0.6228484829399757,putri,1,0,0,1,1,0,0,1
Kost Janur Kuning Diamond Kelapa Gading Jakarta Utara,1500000,16.0,0.5492687743333675,campur,1,0,0,0,1,0,1,1
Kost Singgahsini Tressa Tipe A Kelapa Gading Jakarta Utara,2005000,10.5,1.273361955017155,putri,1,1,1,1,1,0,0,1
Kost Nali House Tipe C2 Kelapa Gading Jakarta Utara,1200000,4.5,1.570900507052266,putri,1,0,0,1,1,0,0,0
Kost Bintang Gading Kelapa Gading Jakarta Utara,2000000,6.25,0.8788774197490318,campur,1,1,1,1,1,0,0,1
Kost Joy Living Zion Kg Standard Kelapa Gading Jakarta Utara,2500000,9.0,1.604369898219843,campur,1,1,1,1,1,0,1,1
Kost Taman Pegangsaan Indah Tipe A Kelapa Gading Jakarta Utara,1250000,9.0,1.6914627841754557,putri,1,0,0,1,1,0,0,1
Kost Gaudensia Tipe 2 Kelapa Gading Jakarta Utara,1000000,5.1,1.2439567050685167,putri,1,0,0,1,1,0,0,0
Kost Nino Tipe C Kelapa Gading Jakarta Utara,1400000,6.0,1.828739793050728,putra,1,1,1,0,1,0,0,0
Kost Kopyor Raya Tipe Fleksi Plus Kelapa Gading Jakarta Utara,1650000,7.5,1.2982070439239863,putri,1,0,0,1,1,0,0,1
Kost Griya Flamboyan Tipe A Kelapa Gading Jakarta Utara,1900000,12.0,1.335308269797475,campur,1,1,1,1,1,0,1,1
Kost Chrysant Home Tipe D Kelapa Gading Jakarta Utara,1650000,9.0,1.5675887887183275,campur,1,0,0,1,1,0,0,1
Kost Kuda Lumping Blok W Kelapa Gading Jakarta Utara,1850000,12.0,1.5107717950491335,putri,1,1,0,1,1,1,1,1
Kost Singgahsini Kelapa Sawit Raya 7 Tipe C Kelapa Gading Jakarta Utara,1250000,5.0,1.811713061097852,campur,1,0,0,1,1,0,0,1
Kost Gading Elok Kelapa Gading Jakarta Utara,1500000,7.5,1.0197789441714191,campur,1,0,0,1,1,0,0,1
