nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Yosi Perdana Tipe A Setiabudi Jakarta Selatan,1300000,6.25,1.7806170296606192,putra,1,0,0,1,1,1,0,0
Kost Md 2 Gedung Baru Vip Black Room J Gambir Jakarta Pusat,1900000,9.0,2.231093196097472,putri,1,0,0,1,1,0,0,0
Kost Singgahsini Nest Cikini Tipe A Menteng Jakarta Pusat,2525000,8.64,1.7990672908583194,campur,1,0,0,1,1,0,0,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe A Tanah Abang Jakarta Pusat,3025000,43.2,1.0264755958832252,putri,1,1,0,1,1,0,1,0
Kost Apik Perintis 5 Karet Kuningan Tipe A Setiabudi Jakarta Selatan,1985000,15.0,1.8631268679075528,campur,1,0,0,1,1,0,1,0
Kost Amarrylis Tipe Executive Gambir Jakarta Pusat,1800000,9.0,2.397411394799385,putri,1,0,0,1,1,1,0,0
Kost Singgahsini Miracle Petamburan II Tipe C Tanah Abang Jakarta Pusat,1875000,12.0,1.8123435508656107,putri,1,1,0,1,1,0,1,0
Kost Singgahsini Sofia Thamrin Tipe A Tanah Abang Jakarta Pusat,3275000,12.15,1.2501563013515236,campur,1,1,0,1,1,0,1,0
Kost Singgahsini AOS Home Tipe B Setiabudi Jakarta Selatan,2125000,9.0,1.8927971955658367,campur,1,0,0,1,1,1,1,0
Kost Singgahsini Dinor Living Tipe B Bendungan Hilir Jakarta Pusat,3125000,7.279999999999999,2.064397030429653,putri,1,1,1,1,1,0,0,1
Kost KIF37 Tipe A Senen Jakarta Pusat,1750000,6.0,2.3087161344175704,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe F Tanah Abang Jakarta Pusat,2225000,12.0,1.0264755958832252,putri,1,0,0,1,1,0,1,0
Kost Apik Aipda Petamburan Tipe B Tanah Abang Jakarta Pusat,1300000,10.8,1.899072351722906,putri,1,1,0,1,1,1,0,0
Kost Green Palmerah Jakarta Barat,800000,6.0,2.088512326523377,campur,1,0,0,1,1,0,0,1
Kost Apik Aipda Petamburan Tipe C Tanah Abang Jakarta Pusat,1300000,9.0,1.899072351722906,putri,1,1,0,1,1,1,0,0
Kost Katelia Tipe A Senen Jakarta Pusat,2300000,16.0,2.4802806968009623,campur,1,1,0,1,1,0,0,1
Kost Singgahsini SB Living Tipe A Menteng Jakarta Pusat,2089000,7.290000000000001,2.1664281516531925,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe G Tanah Abang Jakarta Pusat,2425000,12.0,1.0264755958832252,putri,1,0,0,1,1,0,1,0
Kost Singgahsini Shankee Sudirman Tipe A Setiabudi Jakarta Selatan,5525000,15.0,1.83976705221471,campur,1,1,1,1,1,1,1,0
Kost Singgahsini Tanah Abang Tipe C Jakarta Pusat,1625000,12.0,0.8397280094251451,putri,1,1,0,1,1,1,1,0
Kost Yosi Perdana Tipe C Setiabudi Jakarta Selatan,1800000,6.25,1.7806170296612691,putra,1,1,0,1,1,1,0,0
Kost LeGreen Suite Penjernihan II Tanah Abang Jakarta Pusat,4000000,16.0,1.7262474027249726,campur,1,1,1,1,1,0,1,1
Kost Singgahsini Nest Cikini Tipe B Menteng Jakarta Pusat,2025000,7.5,1.7990672908583194,campur,1,0,0,1,1,0,0,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe C Tanah Abang Jakarta Pusat,2675000,10.5,1.0264755958832252,putri,1,1,0,1,1,0,1,0
Kost Kangaroom Benhil Tanah Abang Jakarta Pusat,5500000,14.4,1.9284029447299484,campur,1,1,1,1,1,0,1,1
Kost Wahyu Agung Sari Tanah Abang Jakarta Pusat,2000000,9.0,2.406776090591045,putra,1,0,0,1,1,1,0,0
Kost Singgahsini Dinor Living Tipe A Bendungan Hilir Jakarta Pusat,3325000,12.21,2.0629575846900527,putri,1,1,1,1,1,0,0,1
Kost Icorner Residence Std Tipe A Tanah Abang Jakarta Pusat,3200000,11.2,0.5798715998918891,campur,1,1,1,1,1,1,1,1
Kost The Terraza Setiabudi Jakarta Selatan,2250000,9.0,2.036508611436292,campur,1,0,0,1,1,0,0,0
Kost Kampung Bali 10 Tipe A Tanah Abang Jakarta Pusat,1600000,12.0,1.315440618426644,putra,1,0,0,1,1,0,0,0
Kost Ibu Regina Tipe C Menteng Jakarta Pusat,2250000,9.0,1.261664191904817,campur,1,1,0,1,1,1,1,1
Kost YCSL Tanah Abang Jakarta Pusat,1100000,6.0,2.181099558940547,putri,1,0,0,1,1,0,0,0
Kost Sabang 40 Tipe A Plus Menteng Jakarta Pusat,3300000,18.0,1.23976930307215,campur,1,1,1,1,1,0,0,1
Kost Kxiv Exclusive 01 Tanah Abang Jakarta Pusat,3000000,8.0,0.687019394181124,campur,1,0,0,1,1,1,0,1
Kost Singgahsini Dinor Living Tipe C Bendungan Hilir Jakarta Pusat,3025000,7.279999999999999,2.0647449015350667,putri,1,1,0,1,1,0,0,1
Kost Amarrylis Tipe B2 Gambir Jakarta Pusat,2500000,21.0,2.363712798791972,putri,1,1,0,1,1,1,0,0
Kost Bunda Tipe Vip Palmerah Jakarta Barat,2100000,12.0,2.5015299798056496,campur,1,1,0,1,1,0,0,0
Kost Koze Benhill 7A Tanah Abang Jakarta Pusat,2200000,6.0,2.239111289146606,putri,1,0,1,0,1,0,0,0
Kost Tangkuban Perahu Setiabudi Jakarta Selatan,2900000,21.0,1.9049193284115669,putri,1,1,0,1,1,1,0,0
Kost Reggy Kalipasir Good Menteng Jakarta Pusat,1550000,12.0,2.08810401563017,putri,1,1,0,1,1,0,0,0
Kost Kebon Kacang 15 Standard Tanah Abang Jakarta Pusat,1050000,5.0,0.7047181326819728,putra,1,0,0,1,1,1,0,0
Kost Monokost Kebon Sirih Menteng Jakarta Pusat,4200000,16.0,2.129637346900002,campur,1,1,0,1,1,0,0,1
Kost Singgahsini W One Kebon Kacang 12 Tipe B Tanah Abang Jakarta Pusat,1725000,4.9,0.7541592744666701,campur,1,0,0,1,1,0,0,0
Kost Deloza Tipe Double Setiabudi Jakarta Selatan,2500000,10.89,1.320769016006328,putri,1,1,0,0,1,1,1,0
Kost Daffa Tipe B Bendungan Hilir Tanah Abang Jakarta Pusat,2000000,13.5,1.928143946978309,campur,1,1,0,1,1,0,0,0
Kost Garden V Executive Room Tanah Abang Jakarta Pusat,2500000,20.0,0.9806019502373896,campur,1,1,0,1,1,0,0,0
Kost Bunda Hj Tuti Tipe A Menteng Jakarta Pusat,850000,12.0,1.4312321653553803,putri,1,0,0,1,1,1,1,0
Kost Kebon Kacang 14 Tanah Abang Jakarta Pusat,1600000,9.0,0.6972831311042281,campur,1,1,0,1,1,1,0,1
Kost Kuningan Village Tipe A Setiabudi Jakarta Selatan,3400000,12.0,2.069586572161925,campur,1,1,1,1,1,1,1,0
Kost Karoo Residence Setia Budi Jakarta Selatan,4100000,16.0,1.683601832798295,campur,1,1,1,1,1,0,1,1
Kost Singgahsini Vanela 8 Benhil Tipe C Tanah Abang Jakarta Pusat,2525000,6.25,2.2062293152073176,campur,1,1,1,1,1,0,0,0
Kost Vine Koi Residence Tanah Abang Jakarta Pusat,2700000,12.0,1.2515098724452964,campur,1,1,0,1,1,0,0,0
Kost Robert Chandra Tipe Standart Tanah Abang Jakarta Pusat,1300000,4.0,0.5647120447325769,putri,1,0,0,1,1,0,0,0
Kost Baik 2 Pam Suites Tanah Abang Jakarta Pusat,2400000,9.0,1.9409384768459168,campur,1,1,1,1,1,0,0,1
Kost JKP Setiabudi Jakarta Selatan,2600000,12.6,1.5636970290852903,campur,1,1,1,1,1,0,0,1
Kost Tirta Royal Residence Benhill Tanah Abang Jakarta Pusat,2199999,9.0,2.149164631479737,campur,1,1,0,1,1,0,0,0
Kost Kevin Tipe Non Ac Setiabudi Jakarta Selatan,1299999,4.4,2.238147735731133,campur,1,1,0,1,1,1,0,0
Kost Deloza Tipe Single Setiabudi Jakarta Selatan,2450000,10.89,1.320769016006328,putri,1,1,1,1,1,1,1,1
Kost Jambi House Setiabudi Jakarta Selatan,3000000,8.100000000000001,1.3068929247157688,campur,1,1,1,1,1,0,0,1
Kost Gokostel W3 Standart Menteng Jakarta Pusat,3500000,12.0,0.6086840234397372,campur,1,1,1,1,1,0,0,1
Kost Chrysant Home Thamrin 1 Gambir Jakarta Pusat,1400000,4.0,2.1741316592283098,campur,1,0,0,1,1,1,0,1
Kost Griya 47 Deluxe Menteng Jakarta Pusat,1000000,9.0,2.274439984686417,campur,1,0,0,1,1,1,0,0
Kost Ungaran Setiabudi Jakarta Selatan,2000000,9.0,1.9418787523170205,campur,1,1,1,1,1,0,1,0
Kost Wanda 2 Tipe Standard Setiabudi Jakarta Selatan,850000,9.0,1.907728439493447,putra,1,0,0,1,1,0,0,0
Kost Bapak Sudi Senen Jakarta Pusat,800000,9.0,2.4734766023339314,putri,1,0,0,1,1,0,0,0
Kost Rosnaningsih Palmerah Jakarta Barat,700000,24.0,2.1339402173465385,putri,1,0,0,0,1,1,0,0
Kost Mama Linda Tanah Abang Jakarta Pusat,2800000,15.0,2.0522672238729496,putri,1,1,1,1,1,1,0,0
Kost Kebon Kacang Kampung Bali XIII Tanah Abang Jakarta Pusat,2499999,12.0,1.2188912598417976,putri,1,1,1,1,1,0,1,0
Kost Jl Tembok No 9 Tipe A Menteng Jakarta Pusat,3000000,12.0,2.028310229071101,campur,1,1,1,1,1,1,1,0
Kost Under The Starfruit Tree Tipe B Tanahabang Jakarta Pusat,3500000,14.0,0.7490293792389683,campur,1,1,0,1,1,0,0,1
Kost Buyan 53 Bendungan Hilir Tanah Abang Jakarta Pusat,3200000,12.25,2.0322961200740868,campur,1,1,1,1,1,0,0,1
Kost Adisa Tipe A Tanah Abang Jakarta Pusat,1200000,11.4,1.665520690149008,putri,1,0,0,1,1,1,0,0
Kost Nines Residences Tipe Deluxe Room Setiabudi Jakarta Selatan,4500000,12.0,2.6638102796892977,campur,1,1,1,1,1,0,1,0
Kost Aster II Tipe A Tanah Abang Jakarta Pusat,3000000,14.0,1.9482478465333928,campur,1,1,1,1,1,0,1,1
Kost Sakura Terrace 2 Setiabudi Jakarta Selatan,8029999,12.0,1.5182916079153648,campur,1,1,1,1,1,1,1,1
Kost Kebon Kacang 38 Tipe 3 Tanah Abang Jakarta Pusat,1700000,6.0,0.5008009908458949,campur,1,1,0,1,1,0,0,0
Kost The Podhouse Tipe D Setiabudi Jakarta Selatan,4000000,12.0,1.8145897380223728,campur,1,1,1,1,1,1,0,1
Kost Vera Benhil Tanah Abang Jakarta Pusat,2250000,9.0,2.215068243529072,putra,1,1,0,1,1,0,0,1
Kost Garden 19 Tipe A Tanah Abang Jakarta Pusat,2000000,16.0,0.8891887788667738,campur,1,1,0,1,1,0,0,0
Kost Kebon Kacang Residence Tipe Standard Tanah Abang Jakarta Pusat,2150000,7.5,0.4741141414840218,campur,1,1,1,1,1,1,0,0
Kost Magnolia Mansion Setiabudi Jakarta Selatan,3300000,24.0,2.085669127034688,campur,1,0,1,0,1,0,1,0
Kost Blessing 1 Setiabudi Jakarta Selatan,2000000,12.0,2.076963365644872,campur,1,0,0,1,1,0,0,1
Kost Raisa Kebon Kacang Tanah Abang Jakarta Pusat,2000000,16.0,0.8137776945492994,campur,1,1,0,1,1,0,0,1
Kost Eleven Garden Tipe B Tanah Abang Jakarta Pusat,1600000,12.0,0.918810703818974,campur,1,0,0,1,1,0,0,0
Kost De 2nd Home Tipe B Tanah Abang Jakarta Pusat,3700000,12.0,1.865398735053746,campur,1,1,1,1,1,1,0,1
Kost Benhil Annapurna Tipe B1 Tanah Abang Jakarta Pusat,2430000,9.0,2.0364178455900714,campur,1,1,1,1,1,0,0,1
